97972,[Rank],2,50680,,428,378,0,0,1,1
16849,Savage Bone,2,42420,,170,234,0,0,1,1
9983,Level[140],2,2166,,211,205,0,0,1,1
15648,[Share-Pts],2,50180,,60,54,0,0,1,1
20826,MountChange,2,51560,,999,1263,0,0,1,1
20826,[MountRare],2,49410,,45,77,0,0,1,1
20546,AccesoryRare,2,49410,,50,78,0,0,1,1
20824,YuKoOn,2,29210,10250,,1281,0,0,1,1
2291,PirateToken,2,51560,,299,290,0,0,1,1
2290,CupDealer,2,51560,,292,258,0,0,1,1
30015,Seller,2,31256,,44,70,0,0,1,1
22088,ShopGold,1,8500,,313,279,0,0,1,1
22904,Break-Strike,2,50140,,151,235,0,0,1,1
52000,TreasureThief,2,51560,,322,258,0,0,1,1
57888,WarofPlayer,2,8500,,300,258,0,0,1,1
50561,WinBestKiller,2,29506,,82,112,0,0,1,1
7751,HpSeller,2,29500,,305,233,0,0,1,1
7752,TournamentPoints,2,29500,,68,46,0,0,1,1
7753,TotalOnline,2,29500,,70,46,0,0,1,1
7754,ChangeCharacter,2,29500,,315,231,0,0,1,1
5569,WingOrTitle,2,19450,,329,245,0,0,1,1
1231,BoxCps,2,35690,,68,35,0,0,1,1
1233,BoxPerfction,2,35690,,349,245,0,0,1,1
1232,BoxMoney,2,35690,,68,67,0,0,1,1
2534,FightersPoleWar,2,19450,,336,134,0,0,1,1
770005,ClanWar,2,38427,,284,142,0,0,1,1
8301,PoleDomination,21,8686,,611,589,30000000,30000000,17,1
770001,PoleDomination,2,29724,,307,165,0,0,1,1
6524,UnionPoleWar,2,29724,,295,166,0,0,1,1
5561,ItemWardrope,2,21864,,63,63,0,0,1,1
1677,Germ/Mou/Acces,2,36550,,318,258,0,0,1,1
545648,NewSeller,2,36550,,308,258,0,0,1,1
1671,GermentRare,2,49410,,309,245,0,0,1,1
1672,1StarMount,2,49420,,63,71,0,0,1,1
1673,2StarMount,2,49420,,59,71,0,0,1,1
1674,3StarMount,2,49420,,55,71,0,0,1,1
1675,4StarMount,2,49420,,51,71,0,0,1,1
12514,Chi-Epic,2,50860,,32,40,0,0,1,1
1381,WarPoints,2,29260,,334,294,0,0,1,1
14100,ChampionPoints,2,29260,,334,288,0,0,1,1
770003,MonsterPoints,2,29260,,334,297,0,0,1,1
545670,BankCps,2,35930,,313,258,0,0,1,1
10123,DIABLO-Event,2,35930,,292,287,0,0,1,1
6471,GoldStage,21,1507,,37,38,20,20,17,0
6472,GoldStage,21,1507,,61,38,20,20,17,0
6473,CpsStage,21,1507,,67,74,20,20,17,0
6474,CpsStage,21,1507,,38,74,20,20,17,0
20522,Top[Spouse-War],2,34600,,263,226,0,0,1,1
1256,MRBoy[TOP],2,50670,,288,190,0,0,1,1
1257,MRGirl[TOP],2,50680,,293,190,0,0,1,1
1995,QueenWorld[TOP],2,50350,,310,190,0,0,1,1
1993,KingWorld[TOP],2,50340,,315,190,0,0,1,1
108129,Top[MonthlyPK],2,51930,,259,217,0,0,1,1
18222,MR[Conquer],2,35630,,246,213,0,0,1,1
18223,MS[Conquer],2,35640,,251,213,0,0,1,1
19350,BoundItem,2,50190,,313,279,0,0,1,1
6987,Vote,2,33240,,322,299,0,0,1,1
22331,Change[DB],2,260,,301,266,0,0,1,1
14016,Stuff+12,2,10095,,32,52,0,0,1,1
14080,Stuff+255,2,29720,,55,50,0,0,1,1
1400,Test,2,29510,,62,52,0,0,1,1
2000,CloudSaint,2,2166,,212,199,0,0,1,1
2289,Reincarnation,2,2166,,211,209,0,0,1,1
990999,HotItems,1,29500,,335,247,0,0,1,1
990909,Shop,1,22440,,300,266,0,0,1,1
781,Arena,2,22440,,300,266,0,0,1,1
14017,JiangFull,2,50090,,32,37,0,0,1,1
5788,HourTops,2,22440,,293,279,0,0,1,1
52005,Eliminated[F/S],2,50188,,317,247,0,0,1,1
52090,FreezeWar[F/S],2,50188,,325,247,0,0,1,1
2287,PkReset,2,8500,,86,73,0,0,1,1
770004,SubClass,2,29510,,334,247,0,0,1,1
19112,Change[C/M/CB],2,19456,,288,304,0,0,1,1
88890,Nobility,2,29490,,308,244,0,0,1,1
52004,PkReset,2,21864,,87,404,0,0,1,1
52001,Football,2,11556,,280,386,0,0,1,1
666,DBShower,2,34900,,318,141,0,0,1,1
777,TeamDeathMatch,2,50225,,291,258,0,0,1,1
780,KillerElite,2,32315,,301,368,0,0,1,1
