52301,,2,15820,1002,313,231,0,0,1,1
52302,,2,15820,1002,348,302,0,0,1,1
52303,,2,15820,1002,339,280,0,0,1,1
52304,,2,15820,1002,342,221,0,0,1,1
52305,,2,15830,1002,293,253,0,0,1,1
52306,,2,15820,1002,233,221,0,0,1,1
52307,,2,15820,1002,262,215,0,0,1,1
52308,,2,15820,1002,287,189,0,0,1,1
52309,,2,15820,1002,314,190,0,0,1,1
52310,,2,15820,1002,317,137,0,0,1,1
52311,,2,15820,1002,299,334,0,0,1,1
52312,,2,15820,1002,328,343,0,0,1,1
52313,,2,15830,1002,310,326,0,0,1,1
52314,,2,15820,1036,219,166,0,0,1,1
52315,,2,15820,1036,200,201,0,0,1,1
52316,,2,15820,1036,199,238,0,0,1,1
